sentence,relation,head,head_offset,tail,tail_offset
货联APP是由卡车司机出身的运营团队打造的车货匹配平台，解决中国货运行业目前面临的棘手问题，货联平台主要致力于解决超载、回头车和货运行业诚信体系建设，公司采用目前国际上最为成熟最前沿的股权众筹模式运作。~,应用平台,货联,0,车货匹配平台,21
起重在线，您掌上的起重机管理专家，吊装人专属生态圈平台。~起重在线是一款吊装人掌上服务平台，囊括了智能管家、吊装社区、产品服务、徐工商城等增值服务模块，帮助我们的用户更好的管理自己的设备并获取更加及时专业的吊装资源服务。~我们的目标是要打造我们吊装人专属的生态圈平台。~,应用平台,重在线是,30,生态圈平台,22
大视界APP是由辽宁省大石桥市融媒体中心管理运营的新闻客户端，是大石桥市的移动门户。功能包含了广播电视的实时播放和直播、新闻、政务、服务、民生、商业等内容。,版权,大视界APP,0,辽宁省大石桥市融媒体中心,8
TOPYSApp是由中国成立最早、最受欢迎的创意垂直网站TOPYS推出的移动端应用，是一个面向创意人、创意领域爱好者开放的创意学习平台。~你可以使用TOPYSApp随时随地查看TOPYS平台上的推荐内容，汲取每日新鲜灵感，了解创意圈热门动态，满足审美体验；还可以参与国际创意大师的精选课程，多维度启发创意思维。~,应用平台,TOPYSApp,0,创意学习平台,61
文星钱币识别是一款专门为盲人设计的钱币识别软件。本软件支持全程语音导航与专用手势操作，支持1角、5角、1元、10元、50元、100元以及硬币的识别。,交互模式,文星钱币识别,0,语音导航,31
嘉社区是嘉兴智慧社区、智慧小区应用的APP，APP结合小区的智能设备让居民在小区生活更便捷、更智慧，包含社区活动积分换购物卡，手机开门，物业缴费，访客预约，养老助餐等。,交互模式,嘉社区,0,缴费,70
云上张家口是依托互联网、云计算、大数据平台等新一代技术，将分散的政务服务、公共服务、社会服务、政民互动渠道、城市资讯等聚合到一起，打造的面向张家口市民的官方服务平台。~张家口市官方便民服务平台，城市生活必备手机软件。~【掌上政务大厅】政务在线办，无需多跑腿【城市查询助手】社保、公积金、违章，一键轻松查询【便民信息平台】气象预报、校园招聘会信息早知道【智慧生活管家】水电燃暖费用轻松缴，交通路况随时看,应用平台,云上张家口,0,、大数据平台,15
哈勃智慧云通过产能数字化、交易在线化，将碎片化的服装产业资源，转化为可理解、可实现、可标准化的模块服务，形成一个柔性制造的时尚综合能力平台。,应用平台,哈勃智慧云,0,时尚综合能力平台,61
糖球App是熊友网络科技有限公司旗下的一款短视频应用，为用户提供原创视频的手机视频分享软件。~用户可以通过糖球APP观看别人原创视频，自己也可以上传原创视频，还可以对视频进行分享及评论。~优雅的相册MV、震撼的电影特效，任何视频形式都可轻松自制、一键分享！每天推荐用户DIY的精彩神视频，冲击你的视觉神经！,交互模式,糖球App,0,频，,65
医邦人App立足于做大健康领域的互联网平台，提供健康领域的学习培训、政策法规、行情快讯、产品采购、应聘招聘等服务。~“医邦人”将为广大诊所提供政策了解、商品采购、资源合作、培训服务等全方位服务，通过为诊所服务，最终造福于万千家庭。~功能有：1.商品采购2.知识学习3.专家问诊4.政策法规,应用平台,医邦人,0,互联网平台,16
在线视频社交app，这里有着众多颜值出众的小姐姐，是宅男娱乐圣地，看直播的神器！附近的萌妹子、高冷小姐姐，同城小鲜肉，男神，撒娇卖萌，唱歌跳舞，聊天交友，漫漫长夜，告别单身，快来直播间玩耍吧！,交互模式,在线视频社交app,0,直播,34
一丙APP是一款可以操控一丙机器人的软件平台，集社交、娱乐、喂养、遥控探索等功能的一款超级APP，这里，有你想要的对象，有你想养的宠物！喜欢吗？下载注册看看，绑定一丙机器人后开启更多玩法！,应用平台,一丙,0,操控一丙机器人的软件平台,10
角马能源是一款专注于能源领域的垂直社区平台。聚焦于油气、煤炭、电力、光伏、储能、铁矿等能源圈，你可以在这里看到能源圈实时高效的行业资讯。,应用平台,角马能源,0,垂直社区平台,15
拳秀体育是武术搏击领域的顶级互联网服务平台，集新闻资讯，社交娱乐，赛事直播，格斗商城等功能于一身，开创了武搏泛娱乐的新时代服务模式【新闻资讯】聚焦行业热点新闻【社交娱乐】约好友，看比赛，去锻炼【赛事直播】汇集国内外大中小型格斗赛事，实时直播，实时互动【格斗商城】千万好物，随时下单,交互模式,拳秀体育,0,资讯，社,25
“开心320”app是由驭卫互联网科技有限开发的儿童口腔健康管理平台。~本app为家长提供家庭中每个孩子的全面的口腔健康报告、口腔健康维护、健康知识、就医指南、风险评估、专病诊室等功能。~“开心320”app围绕儿童全周期口腔健康各方面内容，通过平台智能主动进行口腔健康管理，解决家长最为关心的儿童口腔问题。~,所属公司,开心320,1,驭卫互联网科技有限,12
隆医良方App是一款为用户打造在线学习的应用，在这里你可以观看大量的医学课程，还可以分享一些有趣的看法。,交互模式,隆医良方App,0,在线学习,15
手工客：中国领先的手工DIY内容创作与交流社区。手工爱好者必备应用，图文指导+视频学习+手工爱好者互动交流。百万手工艺原创产品等你来发现。,交互模式,手工客,0,互动交流,49
上海人社是上海市人力资源和社会保障局官方APP，已实现公共招聘、社会保险、药品查询、人才积分模拟计算等多个应用的整合。我们将进一步整合资源，丰富功能，实现您的移动人社服务。,开发者,上海人社,0,社会保障局,13
本应用为快易行-车主端优质订单：实时接收订单，高效快捷。语音播报：让没个订单都无法遗漏。里程计算：更多优惠，让您赚的更多。实时导航：行程更加便捷。,交互模式,快易行,4,语音播报,28
Caskbank是一款专业权威的苏格兰威士忌单桶App交易平台。~在这个平台上，您不仅可以购买、陈年、交易您所喜爱的单桶威士忌，还可以换桶、找桶，或是按照您的个性化需求与苏格兰威士忌大师合作，私人订制出真正属于您自己的威士忌珍酿。~未来，CASKBANK将进一步引领行业新生态，为遍及世界各地的苏格兰单一纯麦威士忌投资人提供低风险、高回报的投资机遇。~“您也可以在苏格兰拥有”自己专属的威士忌单桶！,应用平台,Caskbank,0,苏格兰威士忌单桶App交易平台,16
“新娄星”客户端，是娄星区官方唯一的新媒体APP平台，集结新闻时政、电子政务、便民服务、网络直播、文明实践、学习教育、电子商务、旅游娱乐、智慧城市等功能为一体，让用户一机在手，知晓天下事、办好手中事。,交互模式,新娄星,1,直播,46
风韵出行APP是面向全国乘客提供城际拼车、城内打车、公务用车和旅游专线等服务的叫车软件，旨在为乘客提供安全、舒适、方便、快捷、经济、尊享“六位一体”的出行服务。~APP由武汉风韵出行信息科技有限公司研发，三证齐全，合规合法。~,版权,风韵出行,0,汉风韵出行信息科技有限公司研,86
晋享生活APP是山西农信以打造本土区域性普惠银行为目标的一款集本地O2O商圈、生活缴费、金融服务业务为一体的，综合性互联网金融服务平台，该软件旨在顺应互联网发展趋势，方便客户轻松办理各项业务。,应用平台,晋享生活APP,0,金融服务平台,61
饭小白商家版是专门为合作商家定制的管理平台。合作商家可以通过此平台第一时间了解店铺信息，管理店铺产品，接收商户订单，同时处理客户维权订单，商户可以通过数据分析，优化店铺经营，从而更好的提高店铺销售额.,应用平台,饭小白商家版,0,管理平台,17
车来顺APP是河南来顺商业保理有限公司推出的ETC货车记账卡官方服务平台，专注为货车车主、司机提供公路运输先通行后付费的保理服务.特色功能1.ETC记账卡的在线申请办理。~2.审核通过后ETC卡快递到家，用户无需任何线下办理流程。~,开发者,车来顺,0,河南来顺商业保理有限公司,7
今日视频基于互联网大数据，网罗各种日常生活的美好小片段，用强大的算法进行内容识别，对内容进行标签化，使用户能发现越来越多自己感兴趣的内容，同时为了回馈用户，软件会定期提供一些广告视频让用户参与，参与方式不限于转发，分享和提出相关的创意想法等，并提供一定的费用。~爱生活，爱视频，享受当下每分每秒，就来今日视频。~,交互模式,今日视频,0,分享,107
视频相册是一款免费电子相册制作工具，用户可以通过简单上传几张照片，使用我们提供的模板，就可以制作出美轮美奂的电子相册，并且可以提供相册的下载和分享查看等功能，非常适合宝宝，学生纪念，毕业纪念，情侣，婚礼，中老年人的使用，可以让用户通过视频留住曾经美好的回忆。~,交互模式,视频相册,0,下载和分享,68
天天超跑是车仙人（北京）网络科技有限公司倾情打造的高端豪车租赁服务品牌，于2019年11月正式成立。致力于提供豪华名车，以高端商务、婚车，巡游展示、自驾等服务。,开发者,天天超跑,0,车仙人（北京）网络科技有限公司,5
晓助手APP，是晓教育集团互联网中心为晓教育集团内部打造的高效办公平台，该平台融合了包括运营、办公自动化、人事等在内的企业内部协同事务，助力晓教育旗下包括星火教育，晓培优，晓双师，晓直播等体系的员工日常移动办公需求。~【产品特色】-移动BOSS运营学生、客户、老师一手管理；-移动OA办公快捷发起与审批，工作不再忘记；-移动考勤自拍打卡，直面美美哒自己，开启一天的工作；,版权,晓助手APP,0,晓教育集团,8
空耳是一个声音社交平台，用声音构建一个情感的世界，无论是谁都可以在这里通过声音链接你想要的。~【软件特色】房间嗨聊：娱乐陪玩、电台播讲、精彩pia戏、动听歌声、游戏开黑音频唱歌：专业音效，随时随地也能唱出高清音质情感FM：深夜陪伴，邂逅好声音聊天互动：多人连麦，与喜欢的声音一起唱歌互动聊天【联系我们】微信：空耳APPQ群：273714338,应用平台,空耳,0,声音社交平台,5
“惠车无忧商家版”归属广东法航实业有限公司，以互联网服务平台为载体，专注为车主提供优惠、便捷、优质的人、车生活服务。同时为商家提供免费、精准、省心的营销与管理工具，让线下实体不再难做。,版权,惠车无忧商家版,1,广东法航实业有限公司,11
无敌主播-让主播在微信中也能边开直播变卖货。提供海量优质货源，品质检测，源头采购，一件代发。独有包间功能，直播内容包间粉丝可看。,交互模式,无敌主播,0,卖货,19
“狮兔家”是一个汇集网络达人的多元社交平台，狮兔家App拥有网红商品代言、游戏约玩、社交圈子互动服务功能。~用户在该App内可以创作分享视频作品，通过商品代言及游戏陪练等功能与自己喜爱的达人开展社交互动。~在狮兔家App中用户也可以根据自身的特长喜好申请成为某一领域的网络达人，体验在达人成长的过程中与粉丝用户互动合作的线上服务。~,应用平台,狮兔家,22,多元社交平台,15
“神马出租车司机端”是神马出行平台基于出租车业务开发的互联网出行平台的司机端，我们致力于为出租车师傅和乘客提供高效的司乘需求匹配服务。~我们只抢单不派单，为出租车师傅营造一个公平公正的竞争环境。~帮助出租车师傅降低空驶率、提高接单率，从而获得更理想的收入。~,应用平台,神马出租车司机端,1,互联网出行平台,27
海团团购|一家有温度的社群团购平台！海团团购是义乌蓝益电子商务有限公司旗下独立开发的一款基于移动互联网时代下集衣食住行用综合性团购APP，致力于以供应链为基石，利用大数据社群运营，为用户群体提供产品化与内容化的综合服务，让顾客享受低价高品质的购物体验。~同时，我们又是基于社群经济的创业APP，配备成长型创业系统和商学院，提供全方位创业流程。~,交互模式,海团团购,0,团购,63
河马乐手，一款小谱子旗下的在线音乐教育软件，新颖的双师教学内容，主打钢琴、萨克斯、长笛、竹笛等课程，让更多人爱上音乐课堂！,所属公司,河马乐手,0,小谱子,7
武医护理管理是福建亿同科技公司办公系统的移动版软件，提供了培训管理，排版，资料库等功能模块。,所属公司,武医护理管理,0,福建亿同科技公司,7
由河南经方云科技有限公司研发的一款针对于大众医疗健康，集医疗健康资讯、健康养生课程、个人健康数据、家人健康管理、备忘提醒、每日三餐饮食推荐、健康大数据等功能为一体的掌上健康管家app。,开发者,掌上健康管家,82,河南经方云科技有限公司,1
“可乐GO业务”是为中粮可口可乐旗下业务代表而制定的一款为终端商户提供贴心服务的互联网终端软件。~业务代表可随时随地提供查看并跟踪商户下单情况，及时解决销售过程中的问题，维护客资以及公司资产信息，提升工作的效率，最终达到协助厂商提高销售效率、提升产品覆盖和连接终端商户的目的，为终端商户提供完美的售后服务。~,开发者,可乐GO业务,1,中粮可口可乐,10
信鸽身份证由瀚辰科技独立研发，为信鸽打造专属身份，摒弃传统PC查看方式，实现鸽友在移动端查看爱鸽信息，同时该产品在品控上有超高把控，满足在各种严酷的条件下使用，并且搭载金融级加密算法芯片，保证了爱鸽身份的官方认可性。~,所属公司,信鸽身份证,0,瀚辰科技,6
通过Boyfriend与他相遇，每个孤独的人都在寻找另一半。~通过Boyfriend寻找精神上、空间上、挚友、爱人，我们只差一场相遇，我们在Boyfriend等你。~【产品介绍】附近：查看附近人，与附近人们生活动态互动，相遇好看的面孔，碰撞有趣的灵魂。~直播：男朋友和以往不同，我们使用语音互动直播方式，加强交流互动。~广场：分享精彩生活，与朋友互动生活，总有一个属于你，帮你找到附近的好朋友。~,交互模式,Boyfriend,2,男朋,130
“目瓜短视频”是一款以短视频为媒介的内容交互平台，主要服务人群是退休后的中老年人。~鉴于中国社会老龄化程度越来越高，“目瓜短视频”专门针对中老年人退休后的学习、生活、社交需求，打造出针对性的短视频内容，填补中老年人退休后的生活空白，给中老年人的退休生活提供精神和物质上的服务，使退休生活更美好。~同时，此产品还会引领用户建立健康交友的新模式，致力于为退休人员艺术团体打造出优质的才艺展示与互动平台。~,交互模式,目瓜短视频,1,短视频,11
叼来归是一家时尚便捷的互联网生鲜超市，通过app和线下门店为您提供安全、健康、优质的商品以及配送服务，助您乐享城市便捷生活。,交互模式,叼来归,0,商品以及配送,42
父母邦客户端是亲子网站父母邦推出的移动应用，您可以通过它随时随地查询父母邦推出的最新、精品亲子旅行、活动，并且直接购买或报名，您还可以通过客户端便捷的管理订单和活动等。~父母邦客户端将成为您移动亲子生活的最佳伴侣。~,交互模式,父母邦,0,购买或报名,57
豫电充APP是由河南中创高科新能源科技有限公司推出的一款专为新能源汽车用户服务的充电服务软件，凭借技术先进、统一高效、安全可靠的充电服务网络，为用户提供详细的充电站点信息、站点导航、扫码充电、在线结算、在线预约、社区、增值服务等功能。~“豫”见你，充无忧！,所属公司,豫电充APP,0,河南中创高科新能源科技有限公司,8
《绵阳观察》客户端是一款由绵阳日报社打造的本地新闻APP。~《绵阳观察》立足绵阳，放眼世界，全天滚动提供新闻资讯、政务服务、社区服务。~以大容量高密度的信息资讯，采缤纷天下事，快捷、新颖、切合实际地服务于寻常百姓家。~,交互模式,阳观察》,32,资讯，采,78
优财期APP，是金信期货为广大投资者专门打造的一款集期货行情、资讯等服务于一体的综合服务平台，让用户尽享方便、快捷、专业的全方位资讯与行情服务。~特色功能：行情--实时精准的期货行情、包括黄金、原油、铁矿石、螺纹钢等期货品种的实时行情；资讯--更多期货新闻动态，更多全球财经资讯，让你实时获悉期货情报。~,应用平台,优财期,0,综合服务平台,40
及时雨——互联网室内维修服务平台，汇聚各类专业维修技师，致力于家庭、企业装修、维修提供全方位的快捷服务，是您生活中的贴心小助手。~无需拨打人工电话，打开软件就能看到附近的技师及其专业，通过软件确定维修项目、预约时间，后台指派技师上门维修。~软件作为监督、担保的平台，最大程度保障客户的权益。~,应用平台,及时雨,0,维修服务平台,10
宜春同城APP，隶属于宜春市同城电商科技有限公司。本地区域互联网平台，专业营销策划服务机构。集宜春人才招聘、房产信息、家装建材、吃喝玩乐、周边旅游、相亲婚恋、拼车、便民信息等为主的综合平台。,版权,宜春同城APP,0,宜春市同城电商科技有限公司,11
由鄞州日报社主办的鄞响客户端，于2017年8月30日正式上线，目前已成为我区主流舆论新的重要载体。~鄞响也是目前宁波市仅次于甬派的专业新闻客户端，也是各县市区中用户数最多、新闻滚动量最大的区域性新闻客户端。~本土就是主流。~有用，便民信息一手掌握；好玩，吃喝玩乐一应俱全；旧时光的风情、老底子的味道、新风潮的呐喊、轻文艺的姿态、最别样的鄞州就在鄞响。~,开发者,响也,51,鄞州日报,1
高兴赚吧是一款网购达人公认的网购省钱折扣赚钱拼团app。~赚钱无忧，优惠拿不停，轻松购物。~便捷网购，省钱赚钱，隐藏优惠券领不停，就用高兴赚吧。~超多淘宝天猫优惠券，高额返利。~自己省钱，分享赚钱，好友购物你拿佣金。~帮助好友省钱。~,交互模式,高兴赚吧,0,网购,7
美美万年历，提供农历、日历、黄历、日期计算以及打卡等实用功能。~它不仅让你查询最近以及未来的日期，还可以进行日期计算，推算过去或者未来的时间。~特有的打卡功能，可以让你养成良好的习惯，助你成为生活自律的达人。~,交互模式,美美万年历,0,打卡,23
跳跳电音LIVE，各种姿势上头。~实时直播附近举办的派对/电音节，让您像本地老司机一样玩转电音节，派对。~[玩的更好]电音派对往往需要更多伙伴一同前往，用户越多可玩性越高，跳跳电音可以让爱好电音的小伙伴走到一起，定时举办线下组队蹦迪，充分发挥线下真人电音社交。~[花的更少]拼卡消费更多小伙伴一起玩。~而且可以认识更多的新朋友。~[有卡安排]提前锁定卡座，让您派对无忧。~,交互模式,跳跳电音,0,时直播附,18
“惠车无忧商家版”归属广东法航实业有限公司，以互联网服务平台为载体，专注为车主提供优惠、便捷、优质的人、车生活服务。同时为商家提供免费、精准、省心的营销与管理工具，让线下实体不再难做。,开发者,惠车无忧商家版,1,广东法航实业有限公司,11
使用畅行锦州APP，畅享便捷出行！畅行锦州App是锦州市公共汽车公司打造的一体化出行服务平台，为您提供扫码乘车、资讯服务等多样化的服务，可在线上进行电子公交卡申领、充值，使用二维码便捷乘车。,应用平台,畅行锦州,17,一体化出行服务平台,37
电子购物商城，为客户提供商品电子订购的网络服务平台。,应用平台,电子购物商城,0,网络服务平台,19
手机银行是华融湘江银行为智能手机及移动终端用户量身定制的移动金融服务平台，其专属品牌名称为“e把手”。~提供的功能包括查询、转账、理财产品购买、理财计算器等基本功能；手机充值，缴水、电、燃气费等生活缴费功能；信用卡基本信息查询以及还款管理等功能；手机号转账、二维码转账、摇一摇转账等特色转账功能。~,用户数量,手机银行,0,询、转账、理财产,60
《青芒直播》是一款汇聚了视频、语音、社区的专业社交APP。在这里你可以认识一群颜值高、声音好的小哥哥小姐姐，还能分享你身边趣事寻找志同道合的朋友。,交互模式,青芒直播,1,视频、语音、社区,12
“吴试纸”是移动医疗行业处于领先地位的健康检测平台，通过手机拍照方式快速、方便地进行尿常规检测，让您足不出户，随时检测！【核心功能】检测：尿常规14项检测项目通过手机拍照就能进行。~记录：检测记录智能解读分析，不限数量，永久保存。~家庭成员：一个账号全家人都能检测，检测记录独立处理。~专属咨询：可以在线享受专业的咨询服务。~打印：检测记录可以连接蓝牙打印机打印。~,应用平台,吴试纸,1,健康检测平台,19
校内TV，6700万单身用户的共同选择！在校内直播，你可以通过文字、语音、视频通话等多种方式与异性聊天互动。~已有超过500万用户在校内直播快速搭讪找到了心怡的另一半、知心朋友、红颜蓝颜知己！不想再孤单无聊，那就赶紧下载校内直播撩起来吧！,交互模式,校内TV,0,直播,23
我们是一个画画约稿的平台，画师和金主可以在上面双向选择，也可以再动态发约稿需求，觉得合适可以添加联系方式，自由交流约稿具体要求。,交互模式,我们,0,画画约稿,5
“江干发布”是江干区政府新闻办面向智能手机用户推出的一款功能强大的客户端应用。在这里，你关注、关心的江干大事小情、风土人情、文化盛景、文明风景、政务服务等触手可得。,开发者,“江干发布”,0,干区政府新闻办,8
“古韵洪江”客户端是洪江区的官方客户端，由洪江区融媒体中心运营。~该客户端综合应用文字、图片、视频、H5等多媒体形式，提供新闻、民生资讯、政务等服务，是发布洪江区政策的主平台、获取洪江区信息的主渠道、推介洪江区成就的主窗口，更好地传播洪江声音，讲好洪江故事，展现洪江形象，彰显洪江魅力。~该客户端由湖南日报社开发建设的“新湖南云”提供相关数据资源和技术支持。~,总部,古韵洪江,1,洪江区,10
美团出租司机端是美团出租车司机专用软件，汇聚美团打车用户端的打车需求，以订单形式推送给司机，是一款可以使出租车司机告别空驶，提高工效，从而提高收入的一款APP软件。,交互模式,美团出租司机端,0,订单,36
丝路雄关云APP融合县市级融媒体中心，覆盖县市级各个媒体平台，真正把“县级融媒体中心”建成“新闻+政务+服务”的主流舆论阵地、综合服务平台和社区信息枢纽。~丝路雄关云APP围绕“新闻+信息+服务”的理念，涵盖新闻、视频、直播、微社区、问政、便民服务、大数据新闻等多个板块。~是传播中央声音的重要阵地。~,交互模式,丝路雄关云,0,闻、视频、直播、微,105
安马优券-享购·享生活致力于为10亿海内外网购用户提供综合性电商导购平台，让用户每天都享受双11的购物体验。平台一直秉持着以用户为中心的理念，不断迭代产品，提升用户体验和平台竞争力。,用户数量,安马优券,0,10亿,15
悦家APP简介：悦家是一款由华润物业科技打造的，集高品质物业服务、多元化生活服务、和谐美好邻里于一体的综合性社区服务APP；将全方位物业服务与社区生活完美融合，为您带来全新的社区生活体验。,版权,悦家APP,0,华润物业科技,14
珠海通APP是由珠海市珠海通科技有限公司官方推出的便民应用，主要功能是为珠海通卡用户提供线上充值、挂失、补办、年审、公交线路、服务网点查询等相关业务，为珠海市民出行提供更多便捷服务。,版权,珠海通,0,珠海市珠海通科技有限公司,8
7车道是由海龙集团自主研发的，致力于打造一站式互联网汽车后市场服务的O2O平台，平台凭借海量优质资源及大数据分析处理为车主提供加气、加油、洗车、停车、维修保养等多方位服务信息，形成汽车后市场的服务闭环。~,开发者,7车道,0,海龙集团,5
经销商E助手，是深圳市科脉技术股份有限公司打造的全司经销商&代理商商移动端商务服务平台，旨在为提高科脉合作伙伴的作业效率开发的一款移动端操作平台。~及时获悉科脉最新讯息，包括优惠、政策、活动等内容，代理商可在APP内在线查看本月数据，包括收银台数据及用户数据。~,所属公司,经销商E助手,0,深圳市科脉技术股份有限公司,8
易众拍卖行是河南易众拍卖行有限公司开发的一款线上拍卖APP，主要提供事故车、水淹车、火烧车的线上拍卖服务，方便客户一键出价、随时参拍。易众拍卖APP将会成为做事故车的生意人手机里必不可少的一款APP。,版权,易众拍卖行,0,河南易众拍卖行有限公司开,6
众曼商城是上海众曼广告公司旗下自营的新零售平台，它自带流量，它优而不贵，它秉承着千挑万选的理念，精选全国优质产品提供给广大众曼客户。,应用平台,众曼商城,0,新零售平台,18
车销通是由“易车公司”打造的综合车商服务平台，为中国汽车经销商提供车源查询、在线交易、物流、垫资、营销集客及客户关系管理等服务。全领域赋能车商，为全国经销商打造一站式综合车商服务平台。,应用平台,车销通,0,一站式综合车商服务平台,80
宝舰，是由北京金紫竹科技有限公司运营的医疗整合平台，是经过国家食品药品监督局批准的经营性网络平台。~宝舰具有强大的信息资源优势、完善的产品追溯能力、完善的物流配送体系，为广大器械、医药界同仁提供优质信息服务和产品教育服务。~宝舰立志打造优质的医疗保健信息并提供先进的互联网培育应用模式，全力促进本行业的进步和发展。~,所属公司,立志,114,北京金紫竹科技有限公司,5
葱花之家是一家采用特色“拼购”、集采“预购”和方便“直采”模式，通过全程冷链配送到店（家）的方式，为用户提供优质的生鲜、干货、地方特产、预包装食品的中国新零售企业。~我们是百万家餐厅、千万家庭用户的源头工厂平台。~,应用平台,葱花之家,0,头工厂平台。,100
玉溪高古楼是云南家喻户晓的一款应用，致力于为200多万生活在玉溪的你提供便捷的生活交流空间和体贴的本地生活服务。~每天有数十万和你一样生活在玉溪的小伙伴在这里讨论本地热点事件、爆料八卦新闻、分享身边美食、晒出生活美图、参与各种线上线下的同城活动。~在玉溪，去哪玩去哪吃去哪买去哪找优惠，你都需要玉溪高古楼APP！,用户数量,玉溪高古楼,0,200多万,22
1、阳泉公交通是阳泉公交面向公众出行而推出的实时信息互动掌上平台，其主要致力于为移动用户提供实时交通信息。~2、它有掌上公交电子站牌、公交车到离站提醒、线路信息、乘车方案指导、周边地图服务、资讯推送及意见反馈等功能。~3、公众可查询到公交车距离任意站台有多远；并且可为您提供更快捷、少换乘、少步行等多种交通方案，让您随时随地能获知阳泉公交各种静动态营运信息，实现阳泉公交与你零距离！,开发者,阳泉公交通,2,阳泉公交,8
陕西信合企业银行是陕西信合为企业客户打造的移动金融服务平台，客户可通过移动客户端享受高效、便捷、安全的金融服务。~陕西信合企业银行为客户提供账务查询、资金划转等移动银行服务，企业管理者、财务人员可随时随地处理支付结算业务，掌握企业财务动态。~为保护客户资金、信息安全，客户端使用蓝牙U-KEY进行安全验证，让您在享受便捷、高效的移动办公的同时，交易得到安全保障。~,应用平台,陕西信合企业银行,0,移动金融服务平台,21
八桂行卡由广西壮族自治区人民政府授权广西捷通高速科技股份有限公司面向社会发行，卡内记载用户和车辆信息，是用于支付高速公路通行费的卡。~广西捷通高速科技股份有限公司八桂行卡客户端，提供账单查询、网点查询、通信费查询、通行信息、账户充值、预约办卡等功能,开发者,八桂行卡,0,西捷通高速科技股份有限公司八,68
蜜柚聊吧，汇聚百万优质男女。打开app可以随时找到与你视频聊天的人，于此同时你还可以通过左右滑动完成缘分的匹配，快速找到彼此心仪的那个人，更多玩法就在蜜柚聊吧，随时随地快速恋爱。,交互模式,蜜柚聊吧,0,视频聊,27
上门回收废品是一款集收废品和卖废品为一体的废品交易平台，本着垃圾分类，绿色环保的宗旨。操作简单，轻松一点，上门回收。爱护环境，从你我做起,应用平台,上门回收废品,0,废品交易平台,21
窝牛商家版是为窝牛签约商户管理商品，发布动态的App。~窝牛签约商户，可通过本App进行商品管理、发布动态等操作。~窝牛让家居业主更加方便地选择室内设计师，并且让设计师能为业主提供设计咨询、建材家居购买建议、软装搭配等一站式服务。~,交互模式,窝牛商家版,0,发布,18
视频小白都在用的小优视频！你可以运用它来完成独一无二的短视频制作！小优视频是一款简单、免费、免root的视频剪辑应用，轻松制作时下流行vlog，毕业婚礼家庭纪念电子相册和手机短视频等等，一键完成视频分割、画面缩放、合并视频，顺序调整等多项操作，海量滤镜和转场效果素材自由搭配，快速为你美化视频画面，由你开启全新视频制作体验。~,交互模式,小优视频,8,短视频制作,27
广兴集团APP是一个为员工工作方便使用的app，员工上在此员工进行一些工作上所需的操作，可以快速有效的完成，是一款非常实用的app，是广州广兴牧业设备集团有限公司旗下的一款APP，旨在服务广大广兴人。,所属公司,广兴集团,0,广州广兴牧业设备集团有限公司,67
小猪快约社交软件是基于互联网技术开发的aa制消费餐娱约行平台，为了打破现有的消费观念，倡导积极健康的消费方式，小猪快约将致力推行更加健康的社交消费模式。~同时，让消费者释放消费升级的新动力，从而培育出更多的餐娱约行需求！共同构建年轻人的“陌生人社交”的消费风口！,应用平台,小猪快约,0,aa制消费餐娱约行平台,19
e建通，是江苏易用科技专为建筑企业打造的一个工作沟通，协同，智慧办公平台，帮助数千万企业降低沟通，协同，管理成本，提升办公效率，实现数字化新工作方式。,开发者,e建通,0,江苏易用科技,5
昆e药致力于服务终端药店、诊所、社区卫生服务站，以“客户至上、服务第一”为宗旨，让客户用“最低的价格”得到最优质的药品，成为一流的医药互联网平台。,应用平台,昆e药,0,医药互联网平台,65
「禅逸瑜伽」官方APP，专注瑜伽教学15年！禅逸瑜伽学院从业至今累计培养超千名瑜伽教练，是西北众多瑜伽爱好者的共同选择。~从线下延伸到线上，在这里接触瑜伽，在「禅逸瑜伽」多年教龄的瑜伽老师精准的口令和清晰专业的动作示范下训练，随时随地开展你的瑜伽运动，定制你的私人瑜伽课程！,总部,禅逸瑜伽」,1,西北,45
智联众运是货车专用物流配货信息平台，拥有海量优质货源，所有参与者均通过实名认证，保障交易安全，降低放空，欺诈的风险。~智联众运开发者为河北多拉拉物流有限公司，具备无车承运人资质，现已推出货主版和司机版，在安卓应用商城可下载，方便货主发货，帮助司机赚钱！,应用平台,智联众运,0,卓应,103
“潍坊滨海”客户端是滨海区党群工作部融媒体中心按照县级融媒体中心建设“一县一端”要求，着力打造的滨海区专属移动客户端。~该客户端融合了滨海区内报纸、电视、网站、新媒体等各类媒体资源，能够实现新闻宣传与信息公开、问政互动、便民服务、文明实践、直播点播等一系列功能。~,交互模式,“潍坊滨海”客户端,0,政互动、,106
文化普陀云是一款基于上海普陀区政府公共文化资源而提供在线预约、预订服务的平台。用户可以通过注册登录该平台，浏览文化活动、文化场馆、文化团体资讯，进行在线预订活动票务,交互模式,文化普陀云,0,在线预约、预订服务,26
上汽轻卡APP是上汽大通下属上汽轻卡品牌的车主APP。~ 为您的爱车提供在线预约维修、保养、道路救援、配件查询、车联网等服务；更有会员商城、精彩活动等诸多福利为您的生活添姿加彩！ 如您在使用的过程中有任何问题，欢迎联系客服人员进行反馈，谢谢！,版权,上汽轻卡,0,上汽大通,8
“国家广播电视总局”APP由国家广播电视总局办公厅主办，是新闻宣传、信息公开、服务群众的重要平台,开发者,国家广播电视总局,1,国家广播电视总局办公厅,14
